"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Sun Oct 16 20:59:19 GMT 2022","Sun Oct 16 20:59:23 GMT 2022","3814","","ru.sberlogistics.tests.WebTests","","ru.sberlogistics.tests.WebTests","checkNavigationMenuTest","Проверка пунктов навигационного меню Пункт меню ""Интернет-магазинам"", отображается на сайте",""
"failed","Sun Oct 16 20:59:10 GMT 2022","Sun Oct 16 20:59:15 GMT 2022","4623","","ru.sberlogistics.tests.WebTests","","ru.sberlogistics.tests.WebTests","consoleShouldNotHaveErrorsTest","Проверка ошибок в консоле",""
"passed","Sun Oct 16 20:59:15 GMT 2022","Sun Oct 16 20:59:19 GMT 2022","3880","","ru.sberlogistics.tests.WebTests","","ru.sberlogistics.tests.WebTests","checkNavigationMenuTest","Проверка пунктов навигационного меню Пункт меню ""Отправить посылку"", отображается на сайте",""
"passed","Sun Oct 16 20:59:30 GMT 2022","Sun Oct 16 20:59:34 GMT 2022","3760","","ru.sberlogistics.tests.WebTests","","ru.sberlogistics.tests.WebTests","checkNavigationMenuTest","Проверка пунктов навигационного меню Пункт меню ""Стать партнером"", отображается на сайте",""
"passed","Sun Oct 16 20:59:27 GMT 2022","Sun Oct 16 20:59:30 GMT 2022","3884","","ru.sberlogistics.tests.WebTests","","ru.sberlogistics.tests.WebTests","checkNavigationMenuTest","Проверка пунктов навигационного меню Пункт меню ""Корпоративным клиентам"", отображается на сайте",""
"passed","Sun Oct 16 20:59:38 GMT 2022","Sun Oct 16 20:59:42 GMT 2022","3925","","ru.sberlogistics.tests.WebTests","","ru.sberlogistics.tests.WebTests","checkLogoVisibleTest","Проверка отображения логотипа",""
"passed","Sun Oct 16 20:59:23 GMT 2022","Sun Oct 16 20:59:27 GMT 2022","3938","","ru.sberlogistics.tests.WebTests","","ru.sberlogistics.tests.WebTests","checkNavigationMenuTest","Проверка пунктов навигационного меню Пункт меню ""Самозанятым"", отображается на сайте",""
"passed","Sun Oct 16 20:58:55 GMT 2022","Sun Oct 16 20:59:10 GMT 2022","14952","","ru.sberlogistics.tests.WebTests","","ru.sberlogistics.tests.WebTests","calculateShipmentTest","Проверка расчета доставки",""
"passed","Sun Oct 16 20:59:34 GMT 2022","Sun Oct 16 20:59:38 GMT 2022","3856","","ru.sberlogistics.tests.WebTests","","ru.sberlogistics.tests.WebTests","checkNavigationMenuTest","Проверка пунктов навигационного меню Пункт меню ""Новости"", отображается на сайте",""
