"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"failed","Mon Oct 17 09:11:34 GMT 2022","Mon Oct 17 09:11:39 GMT 2022","4767","","ru.sberlogistics.tests.WebTests","","ru.sberlogistics.tests.WebTests","consoleShouldNotHaveErrorsTest","Проверка ошибок в консоле",""
"passed","Mon Oct 17 09:12:01 GMT 2022","Mon Oct 17 09:12:05 GMT 2022","4082","","ru.sberlogistics.tests.WebTests","","ru.sberlogistics.tests.WebTests","checkNavigationMenuTest","Проверка пунктов навигационного меню Пункт меню ""Новости"", отображается на сайте",""
"passed","Mon Oct 17 09:12:05 GMT 2022","Mon Oct 17 09:12:09 GMT 2022","4384","","ru.sberlogistics.tests.WebTests","","ru.sberlogistics.tests.WebTests","checkLogoVisibleTest","Проверка отображения логотипа",""
"passed","Mon Oct 17 09:11:52 GMT 2022","Mon Oct 17 09:11:56 GMT 2022","4485","","ru.sberlogistics.tests.WebTests","","ru.sberlogistics.tests.WebTests","checkNavigationMenuTest","Проверка пунктов навигационного меню Пункт меню ""Корпоративным клиентам"", отображается на сайте",""
"passed","Mon Oct 17 09:11:47 GMT 2022","Mon Oct 17 09:11:52 GMT 2022","4191","","ru.sberlogistics.tests.WebTests","","ru.sberlogistics.tests.WebTests","checkNavigationMenuTest","Проверка пунктов навигационного меню Пункт меню ""Самозанятым"", отображается на сайте",""
"passed","Mon Oct 17 09:11:18 GMT 2022","Mon Oct 17 09:11:34 GMT 2022","15843","","ru.sberlogistics.tests.WebTests","","ru.sberlogistics.tests.WebTests","calculateShipmentTest","Проверка расчета доставки",""
"passed","Mon Oct 17 09:11:43 GMT 2022","Mon Oct 17 09:11:47 GMT 2022","4271","","ru.sberlogistics.tests.WebTests","","ru.sberlogistics.tests.WebTests","checkNavigationMenuTest","Проверка пунктов навигационного меню Пункт меню ""Интернет-магазинам"", отображается на сайте",""
"passed","Mon Oct 17 09:11:39 GMT 2022","Mon Oct 17 09:11:43 GMT 2022","4374","","ru.sberlogistics.tests.WebTests","","ru.sberlogistics.tests.WebTests","checkNavigationMenuTest","Проверка пунктов навигационного меню Пункт меню ""Отправить посылку"", отображается на сайте",""
"passed","Mon Oct 17 09:11:56 GMT 2022","Mon Oct 17 09:12:01 GMT 2022","4576","","ru.sberlogistics.tests.WebTests","","ru.sberlogistics.tests.WebTests","checkNavigationMenuTest","Проверка пунктов навигационного меню Пункт меню ""Стать партнером"", отображается на сайте",""
