"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Sun Oct 16 20:47:53 GMT 2022","Sun Oct 16 20:47:58 GMT 2022","4464","","ru.sberlogistics.tests.WebTests","","ru.sberlogistics.tests.WebTests","checkLogoVisibleTest","Проверка отображения логотипа",""
"passed","Sun Oct 16 20:47:27 GMT 2022","Sun Oct 16 20:47:31 GMT 2022","4580","","ru.sberlogistics.tests.WebTests","","ru.sberlogistics.tests.WebTests","checkNavigationMenuTest","Проверка пунктов навигационного меню Пункт меню ""Отправить посылку"", отображается на сайте",""
"failed","Sun Oct 16 20:47:22 GMT 2022","Sun Oct 16 20:47:27 GMT 2022","4447","","ru.sberlogistics.tests.WebTests","","ru.sberlogistics.tests.WebTests","consoleShouldNotHaveErrorsTest","Проверка ошибок в консоле",""
"passed","Sun Oct 16 20:47:40 GMT 2022","Sun Oct 16 20:47:45 GMT 2022","4326","","ru.sberlogistics.tests.WebTests","","ru.sberlogistics.tests.WebTests","checkNavigationMenuTest","Проверка пунктов навигационного меню Пункт меню ""Корпоративным клиентам"", отображается на сайте",""
"passed","Sun Oct 16 20:47:49 GMT 2022","Sun Oct 16 20:47:53 GMT 2022","4350","","ru.sberlogistics.tests.WebTests","","ru.sberlogistics.tests.WebTests","checkNavigationMenuTest","Проверка пунктов навигационного меню Пункт меню ""Новости"", отображается на сайте",""
"passed","Sun Oct 16 20:47:45 GMT 2022","Sun Oct 16 20:47:49 GMT 2022","4377","","ru.sberlogistics.tests.WebTests","","ru.sberlogistics.tests.WebTests","checkNavigationMenuTest","Проверка пунктов навигационного меню Пункт меню ""Стать партнером"", отображается на сайте",""
"passed","Sun Oct 16 20:47:31 GMT 2022","Sun Oct 16 20:47:36 GMT 2022","4380","","ru.sberlogistics.tests.WebTests","","ru.sberlogistics.tests.WebTests","checkNavigationMenuTest","Проверка пунктов навигационного меню Пункт меню ""Интернет-магазинам"", отображается на сайте",""
"passed","Sun Oct 16 20:47:36 GMT 2022","Sun Oct 16 20:47:40 GMT 2022","4377","","ru.sberlogistics.tests.WebTests","","ru.sberlogistics.tests.WebTests","checkNavigationMenuTest","Проверка пунктов навигационного меню Пункт меню ""Самозанятым"", отображается на сайте",""
"passed","Sun Oct 16 20:47:06 GMT 2022","Sun Oct 16 20:47:22 GMT 2022","16007","","ru.sberlogistics.tests.WebTests","","ru.sberlogistics.tests.WebTests","calculateShipmentTest","Проверка расчета доставки",""
